blue,red,green,nir,swir16,swir22
8598.0,9277.0,9478.0,15269.0,13409.0,10451.0
8629.0,9792.0,9638.0,15112.0,13503.0,11013.0
8501.0,9516.0,9567.0,16168.0,14719.0,11208.0
8648.0,9935.0,9719.5,15316.0,14270.0,11555.5
8465.0,9495.5,9462.0,14321.0,14858.0,11279.0
8684.0,9711.0,9625.0,14934.0,14224.0,11001.0
9522.0,10491.0,10557.0,15816.0,14478.0,11369.0
10328.0,11566.0,11307.0,14527.0,11716.5,10901.0
9130.0,10546.0,10492.0,16353.0,14646.0,11441.0
9774.0,12802.0,11574.0,13198.0,11823.0,10939.5
8174.5,8206.0,8593.0,13614.5,10703.0,8658.0
8495.5,8955.5,9483.0,18953.5,13493.0,10049.0
8449.0,9164.0,9600.0,17794.0,13791.0,10325.0
8360.0,9338.0,9360.0,14112.0,11858.5,9792.0
9961.5,9903.0,10278.0,15966.0,12745.0,9841.0
9920.0,10086.0,10497.5,16398.5,13279.5,10060.0
9723.0,9905.0,10448.0,17697.0,14767.0,10440.0
9141.0,9832.0,10046.0,17110.0,13584.0,10279.0
8826.0,9685.0,9734.0,12402.5,10127.5,9096.0
9275.0,10068.0,10319.5,16555.0,13851.5,10808.0
7940.5,8368.0,8544.0,12748.0,9739.5,8812.0
9137.5,10782.0,10531.0,16892.0,13777.0,11170.0
9501.0,10903.0,10445.0,15533.0,16722.0,14538.0
9023.0,10808.5,10143.5,14532.0,14864.0,12087.0
9175.0,10180.0,10452.0,17869.0,15158.0,11381.0
9772.0,10179.0,10349.0,15564.0,13777.5,10777.0
9228.5,10537.0,10414.5,14851.5,11830.5,9444.0
8707.0,9408.0,9640.0,14412.0,14026.0,11067.0
8629.0,9792.0,9638.0,15112.0,13503.0,11013.0
8422.0,9581.0,9406.0,14054.0,13869.0,10818.0
8852.0,9504.0,9906.0,16672.0,13986.0,10247.0
8480.5,8999.5,9288.0,17007.5,13974.5,10775.5
8547.0,9537.0,9567.5,16004.0,14549.0,11275.0
7785.0,8238.0,8173.0,10494.0,9363.0,8380.0
10562.0,14576.0,12713.0,17419.0,19329.0,16397.0
9650.0,11839.0,11032.5,15860.0,15637.5,13308.0
8874.5,11301.0,9918.5,13892.0,16640.0,13079.5
,,,,,
8684.0,9711.0,9625.0,14934.0,14224.0,11001.0
9052.0,10513.0,10141.0,16524.0,11533.0,9092.0
10328.0,11566.0,11307.0,14527.0,11716.5,10901.0
8699.0,9609.0,9634.0,16221.0,14453.0,11264.0
8576.0,9190.5,9112.0,12702.0,13622.0,11040.5
10328.0,11566.0,11307.0,14527.0,11716.5,10901.0
8742.0,10298.0,9457.0,11902.0,14642.5,13553.0
9865.0,11412.0,11177.0,18501.0,16629.5,12751.0
8120.0,8276.0,8327.5,11094.5,9252.5,8448.0
9228.5,10537.0,10414.5,14851.5,11830.5,9444.0
9590.0,10793.0,10670.0,15892.5,13935.0,11272.0
8804.0,9402.0,9772.0,16348.0,13683.0,10234.0
8972.0,9417.5,9798.0,14624.5,11113.5,9060.0
9498.0,10781.5,10635.0,15470.0,16988.5,13314.0
9275.0,10068.0,10319.5,16555.0,13851.5,10808.0
8754.0,9230.0,9246.5,14029.0,11575.5,9727.5
9139.0,11240.0,10034.0,13692.0,16483.0,13270.0
9145.0,10458.0,9745.0,14817.0,14946.0,12432.0
8598.0,9277.0,9478.0,15269.0,13409.0,10451.0
9149.0,10782.0,10209.0,15501.0,17508.0,13367.0
8826.0,9960.0,9647.0,14525.5,13326.5,10764.5
8643.0,9263.0,9733.5,17335.5,13507.5,9974.0
8707.0,9408.0,9640.0,14412.0,14026.0,11067.0
8629.0,9792.0,9638.0,15112.0,13503.0,11013.0
8852.0,9504.0,9906.0,16672.0,13986.0,10247.0
8520.0,9265.0,9525.0,15926.5,13498.0,10281.0
8684.0,9711.0,9625.0,14934.0,14224.0,11001.0
8494.0,8793.5,8901.0,10492.0,8782.0,7999.0
9774.0,12802.0,11574.0,13198.0,11823.0,10939.5
8495.5,8955.5,9483.0,18953.5,13493.0,10049.0
8494.0,8793.5,8901.0,10492.0,8782.0,7999.0
9961.5,9903.0,10278.0,15966.0,12745.0,9841.0
9723.0,9905.0,10448.0,17697.0,14767.0,10440.0
8404.0,9049.0,9416.0,18026.5,12805.0,9566.0
8826.0,9685.0,9734.0,12402.5,10127.5,9096.0
8559.0,10021.0,9478.0,14131.0,14643.5,11683.0
8825.0,9584.5,9189.0,11243.0,13709.0,12177.0
9920.0,10086.0,10497.5,16398.5,13279.5,10060.0
11042.0,12141.0,11693.0,17877.0,19251.5,15809.0
8340.5,8767.0,9161.0,18877.5,12532.0,9512.0
8465.0,9495.5,9462.0,14321.0,14858.0,11279.0
8684.0,9711.0,9625.0,14934.0,14224.0,11001.0
8422.0,9581.0,9406.0,14054.0,13869.0,10818.0
9052.0,10513.0,10141.0,16524.0,11533.0,9092.0
10328.0,11566.0,11307.0,14527.0,11716.5,10901.0
10328.0,11566.0,11307.0,14527.0,11716.5,10901.0
9424.5,10924.5,10757.0,15424.0,11863.5,9464.0
9865.0,11412.0,11177.0,18501.0,16629.5,12751.0
8826.0,9960.0,9647.0,14525.5,13326.5,10764.5
8494.0,8793.5,8901.0,10492.0,8782.0,7999.0
8576.0,9362.0,9548.0,16352.0,14059.0,10857.0
8804.0,9402.0,9772.0,16348.0,13683.0,10234.0
8360.0,9338.0,9360.0,14112.0,11858.5,9792.0
8972.0,9417.5,9798.0,14624.5,11113.5,9060.0
8431.5,8761.0,9202.5,12846.0,12376.5,9779.0
9498.0,10781.5,10635.0,15470.0,16988.5,13314.0
9275.0,10068.0,10319.5,16555.0,13851.5,10808.0
8665.0,9644.0,9918.0,18757.0,14481.5,11167.0
8806.0,9650.5,9447.0,14368.0,13003.5,10717.0
11005.0,15790.0,13829.0,19001.0,22754.0,20400.5
9139.0,11240.0,10034.0,13692.0,16483.0,13270.0
9228.5,10537.0,10414.5,14851.5,11830.5,9444.0
8629.0,9792.0,9638.0,15112.0,13503.0,11013.0
8303.0,9214.0,9204.5,14962.0,13186.0,10404.0
8648.0,9935.0,9719.5,15316.0,14270.0,11555.5
8684.0,9711.0,9625.0,14934.0,14224.0,11001.0
9037.0,10193.0,10196.0,15975.0,12062.0,9469.0
9522.0,10491.0,10557.0,15816.0,14478.0,11369.0
7785.0,8238.0,8173.0,10494.0,9363.0,8380.0
8071.0,8786.0,8798.0,13349.0,12517.0,9861.0
9263.0,10964.0,10482.0,15792.0,16213.0,13401.0
8340.5,8767.0,9161.0,18877.5,12532.0,9512.0
9130.0,10546.0,10492.0,16353.0,14646.0,11441.0
8720.0,9950.0,9855.0,16804.0,14751.0,11272.0
9774.0,12802.0,11574.0,13198.0,11823.0,10939.5
8298.0,8847.0,9235.5,18235.5,13404.5,9868.0
8434.5,8904.0,9479.0,19779.0,13765.5,9987.0
8823.5,9927.0,9975.0,16914.5,14004.5,10796.0
8495.5,8955.5,9483.0,18953.5,13493.0,10049.0
8857.0,10679.0,9628.0,12476.0,14877.0,13267.0
9137.5,10782.0,10531.0,16892.0,13777.0,11170.0
9920.0,10086.0,10497.5,16398.5,13279.5,10060.0
9723.0,9905.0,10448.0,17697.0,14767.0,10440.0
,,,,,
8826.0,9685.0,9734.0,12402.5,10127.5,9096.0
9275.0,10068.0,10319.5,16555.0,13851.5,10808.0
9590.0,10793.0,10670.0,15892.5,13935.0,11272.0
8559.0,10021.0,9478.0,14131.0,14643.5,11683.0
8540.0,9206.5,9568.0,17521.5,14404.0,10848.0
8547.0,9537.0,9567.5,16004.0,14549.0,11275.0
9501.0,10903.0,10445.0,15533.0,16722.0,14538.0
9023.0,10808.5,10143.5,14532.0,14864.0,12087.0
9175.0,10180.0,10452.0,17869.0,15158.0,11381.0
8802.5,9663.0,9602.0,14640.0,12399.0,10114.0
9772.0,10179.0,10349.0,15564.0,13777.5,10777.0
8699.5,8957.5,9416.5,18424.0,13088.5,9886.0
8852.5,10079.0,10003.0,16209.0,15086.0,11771.0
8337.0,9163.5,9297.0,17497.0,13178.0,10083.0
8629.0,9792.0,9638.0,15112.0,13503.0,11013.0
8422.0,9581.0,9406.0,14054.0,13869.0,10818.0
8852.0,9504.0,9906.0,16672.0,13986.0,10247.0
8576.0,9362.0,9548.0,16352.0,14059.0,10857.0
8699.0,9609.0,9634.0,16221.0,14453.0,11264.0
10562.0,14576.0,12713.0,17419.0,19329.0,16397.0
8576.0,9190.5,9112.0,12702.0,13622.0,11040.5
8465.0,9495.5,9462.0,14321.0,14858.0,11279.0
8684.0,9711.0,9625.0,14934.0,14224.0,11001.0
8619.5,9909.0,9392.0,13659.0,14714.0,12104.0
8692.0,9429.0,9641.0,17091.0,14327.0,10902.0
9865.0,11412.0,11177.0,18501.0,16629.5,12751.0
8495.5,8955.5,9483.0,18953.5,13493.0,10049.0
8494.0,8793.5,8901.0,10492.0,8782.0,7999.0
8857.0,10679.0,9628.0,12476.0,14877.0,13267.0
8972.0,9417.5,9798.0,14624.5,11113.5,9060.0
8431.5,8761.0,9202.5,12846.0,12376.5,9779.0
9498.0,10781.5,10635.0,15470.0,16988.5,13314.0
9275.0,10068.0,10319.5,16555.0,13851.5,10808.0
8559.0,10021.0,9478.0,14131.0,14643.5,11683.0
8938.0,10493.0,10052.0,14217.0,15327.0,12419.0
8598.0,9277.0,9478.0,15269.0,13409.0,10451.0
8499.0,9289.0,9382.5,15515.0,13249.0,10208.0
8860.0,10250.0,9860.0,14820.0,16571.0,12967.0
9014.0,10466.0,9938.0,13684.0,13437.0,10625.0
